iteration ,parse ,solve ,decision ,unit    ,visit    ,restart ,adjacency     ,virtual
        1 ,    2 , 8555 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,true
        2 ,    2 , 8554 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,true
        3 ,    2 , 8554 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,true
        4 ,    2 , 8558 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,true
        0 ,    2 , 6643 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,true
        1 ,    2 , 6643 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,true
        2 ,    2 , 6642 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,true
        3 ,    2 , 6643 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,true
        4 ,    2 , 6642 ,  142616 ,1292501 ,15036128 ,      0 ,list          ,true
        0 ,    2 ,10566 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,true
        1 ,    2 ,10563 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,true
        2 ,    2 ,10562 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,true
        3 ,    2 ,10559 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,true
        4 ,    2 ,10562 ,  221442 ,2051297 ,23731269 ,      0 ,list          ,true
        0 ,    2 ,  943 ,   21810 , 212445 , 2338872 ,      0 ,list          ,false
        1 ,    2 ,  942 ,   21810 , 212445 , 2338872 ,      0 ,list          ,false
        2 ,    2 ,  944 ,   21810 , 212445 , 2338872 ,      0 ,list          ,false
        3 ,    2 ,  943 ,   21810 , 212445 , 2338872 ,      0 ,list          ,false
        4 ,    2 ,  942 ,   21810 , 212445 , 2338872 ,      0 ,list          ,false
        0 ,    2 ,11375 ,  282452 ,2608598 ,29908405 ,      0 ,list          ,false
        1 ,    2 ,11789 ,  282452 ,2608598 ,29908405 ,      0 ,list          ,false
        2 ,    2 ,11440 ,  282452 ,2608598 ,29908405 ,      0 ,list          ,false
        3 ,    2 ,11454 ,  282452 ,2608598 ,29908405 ,      0 ,list          ,false
        4 ,    2 ,11466 ,  282452 ,2608598 ,29908405 ,      0 ,list          ,false
        0 ,    2 , 7318 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,false
        1 ,    2 , 7316 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,false
        2 ,    2 , 7312 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,false
        3 ,    2 , 7308 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,false
        4 ,    2 , 7308 ,  178690 ,1656112 ,19101020 ,      0 ,list          ,false
