parse ,solve  ,decisions ,unit      ,visit      ,restart ,var ,name
    2 ,     0 ,       57 ,      326 ,      8959 ,      0 , 61 ,ais6
    6 ,   124 ,    17979 ,   146627 ,   5646446 ,      0 ,113 ,ais8
    3 ,     0 ,       18 ,      361 ,      7031 ,      0 ,116 ,blocksworld_medium
    1 ,     0 ,       24 ,       66 ,       630 ,      0 , 90 ,flat1
    1 ,     0 ,       25 ,       65 ,       630 ,      0 , 90 ,flat2
    0 ,    18 ,    11460 ,    52518 ,    447846 ,      0 , 42 ,phole6
    1 ,   405 ,   208174 ,  1087482 ,  10365248 ,      0 , 56 ,phole7
    1 ,  6972 ,  3230428 , 17743702 , 188767170 ,      0 , 72 ,phole8
    2 ,215955 , 87327026 ,533260662 ,6205876880 ,      0 , 90 ,phole9
